product_id,카테고리,평점,속성_num,트러블,수분,세정력,보습,메이크업,건성,진정,저자극,세안,화장,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,흡수,쿨링,여드름,모공,지성,피지,거품,각질,향,냄새,건조,유분,약산성,review
A000000117807,skincare,4.5,4,5,32,0,28,0,0,2,13,0,0,0.48,0.45,0.07,10,0,0,0,7,0,0,0,0,0,18,10,0,97
A000000117808,skincare,4.8,4,14,48,0,24,0,0,3,17,0,0,0.39,0.53,0.08,40,0,0,0,11,1,0,0,0,0,47,10,0,99
A000000117809,skincare,4.7,4,12,24,0,21,0,0,3,18,0,0,0.33,0.54,0.14,17,0,0,0,11,2,0,0,0,0,17,8,0,99
A000000117820,skincare,4.7,4,2,12,0,8,0,0,2,6,0,0,0.46,0.47,0.08,10,0,0,0,1,0,0,0,0,0,7,2,0,72
A000000118797,skincare,4.6,4,8,24,0,23,0,0,2,9,0,0,0.67,0.31,0.02,9,0,0,0,6,2,0,0,0,0,21,6,0,96
A000000118798,skincare,4.6,4,9,40,0,14,0,0,4,17,0,0,0.23,0.67,0.1,15,0,0,0,10,0,0,0,0,0,17,5,0,100
A000000118803,skincare,4.7,4,8,13,0,11,0,0,0,20,0,0,0.41,0.55,0.05,25,0,0,0,4,0,0,0,0,0,6,5,0,99
A000000118831,bodycare,4.7,4,0,6,0,52,0,0,1,4,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,29,4,0,100
A000000119839,skincare,4.7,2,26,4,0,15,0,0,33,17,0,0,0.27,0.64,0.09,28,1,20,1,7,0,0,0,0,0,0,0,0,98
A000000120127,bodycare,4.8,4,2,2,0,58,0,0,2,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,37,3,0,100
A000000120323,bodycare,4.8,4,0,2,0,32,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,3,0,100
A000000121076,suncare,4.7,4,10,3,0,0,0,0,0,19,0,0,0.25,0.64,0.11,8,0,0,0,7,0,0,0,0,0,8,5,0,100
A000000121852,suncare,4.6,4,13,8,0,2,0,0,1,15,0,0,0.26,0.62,0.12,14,0,0,0,13,0,0,0,0,0,17,13,0,100
A000000121994,skincare,4.6,4,1,3,0,10,0,0,0,4,0,0,0.43,0.51,0.07,4,0,0,0,1,0,0,0,0,0,5,2,0,60
A000000121995,skincare,4.6,4,1,7,0,5,0,0,1,9,0,0,0.38,0.58,0.04,9,0,0,0,2,0,0,0,0,0,2,2,0,55
A000000122076,skincare,4.7,1,6,19,0,14,2,10,25,23,8,13,0.37,0.53,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000122980,bodycare,4.8,3,1,0,13,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,24,1,7,2,24,0,0,75
A000000122981,bodycare,4.8,3,9,0,12,22,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,15,0,10,2,18,0,0,86
A000000123568,bodycare,4.8,4,2,7,0,53,0,0,2,8,0,0,0,0,0,18,0,0,0,3,36,0,0,0,0,31,2,0,99
A000000123594,suncare,4.8,4,4,12,0,3,0,0,9,16,0,0,0.23,0.64,0.13,7,0,0,0,11,1,0,0,0,0,7,19,0,100
A000000124547,bodycare,4.9,3,0,0,3,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,16,4,2,0,0,62
A000000124548,bodycare,4.7,3,2,0,9,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,8,0,16,11,0,0,0,83
A000000124941,skincare,4.7,4,14,32,0,23,0,0,7,22,0,0,0.39,0.55,0.06,20,0,0,0,8,5,0,0,0,0,16,8,0,100
A000000124982,bodycare,4.8,3,4,0,1,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,19,2,7,0,0,74
A000000125012,skincare,4.8,4,9,35,0,15,0,0,8,13,0,0,0.32,0.55,0.13,9,0,0,0,14,0,0,0,0,0,16,7,0,90
A000000125149,cleansing,4.7,5,27,0,16,0,0,0,0,14,0,0,0.11,0.63,0.26,0,0,23,2,8,5,22,0,0,0,6,0,5,99
A000000125836,cleansing,4.5,3,2,0,46,28,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,72,2,34,26,26,0,0,100
A000000125836,bodycare,4.5,3,2,0,46,28,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,72,2,34,26,26,0,0,100
A000000125846,bodycare,4.5,3,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,3,0,0,48
A000000125954,bodycare,4.8,3,1,0,15,2,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,61,0,32,19,7,0,0,100
A000000126470,skincare,4.7,4,12,11,0,18,0,0,20,16,0,0,0.43,0.49,0.08,7,0,0,0,9,1,0,0,0,0,13,10,0,99
A000000126471,skincare,4.8,4,12,18,0,14,0,0,16,16,0,0,0.27,0.63,0.1,4,0,0,0,5,0,0,0,0,0,17,10,0,98
A000000126665,skincare,4.5,4,10,21,0,10,0,0,11,13,0,0,0.15,0.52,0.33,17,0,0,0,20,9,0,0,0,0,13,8,0,100
